emp_id,age,department,job_role,education_field,monthly_income,total_working_years,years_at_company,overtime,job_satisfaction,work_life_balance,distance_from_home,marital_status,attrition
E10000,41,Sales,Specialist,Life Sciences,5598,1.0,1,No,2,4,6.0,Married,No
E10001,38,HR,Executive,Life Sciences,11156,11.0,3,Yes,3,2,21.0,Married,No
E10002,31,R&D,Representative,Engineering,4883,14.0,9,No,4,4,27.0,Married,No
E10003,37,R&D,Specialist,Marketing,7732,5.0,4,No,4,2,27.0,Single,No
E10004,31,Sales,Representative,Life Sciences,6089,16.0,3,No,2,3,24.0,Single,No
E10005,30,Sales,Manager,Technical Degree,8570,4.0,4,No,4,2,5.0,Single,No
E10006,34,Sales,Technician,Engineering,7588,15.0,3,No,3,3,5.0,Single,No
E10007,36,HR,Representative,Marketing,5895,13.0,0,Yes,2,2,16.0,Married,No
E10008,37,R&D,Specialist,Medical,4884,2.0,1,No,3,2,24.0,Married,No
E10009,45,R&D,Specialist,Medical,7890,6.0,5,Yes,1,4,25.0,Single,Yes
E10010,33,Sales,Specialist,Technical Degree,6116,2.0,2,No,1,4,8.0,Single,No
E10011,39,HR,Technician,Medical,5431,3.0,3,Yes,4,3,15.0,Single,No
E10012,38,R&D,Technician,Other,7878,17.0,13,Yes,4,3,15.0,Divorced,No
E10013,32,Sales,Technician,Life Sciences,5462,10.0,9,No,3,1,9.0,Married,No
E10014,38,Sales,Specialist,Life Sciences,7553,5.0,5,No,1,1,15.0,Divorced,No
E10015,46,Sales,Specialist,Engineering,7041,1.0,1,No,3,4,25.0,Divorced,No
E10016,39,Sales,Manager,Engineering,8874,,2,No,4,3,8.0,Married,No
E10017,39,R&D,Specialist,Engineering,7157,6.0,3,No,3,1,14.0,Married,No
E10018,31,R&D,Technician,Engineering,7387,17.0,13,No,4,3,7.0,Single,No
E10019,55,Sales,Representative,Engineering,7460,12.0,4,Yes,1,4,29.0,Married,Yes
E10020,31,R&D,Technician,Engineering,4415,7.0,3,No,2,3,23.0,Single,No
E10021,22,Sales,Specialist,Engineering,7695,7.0,3,No,3,4,12.0,Divorced,No
E10022,45,Sales,Representative,Technical Degree,5917,9.0,8,No,4,1,1.0,Single,No
E10023,36,Sales,Technician,Engineering,5547,15.0,1,No,2,3,,Married,No
E10024,34,R&D,Representative,Medical,4992,3.0,3,No,2,3,7.0,Single,No
E10025,32,R&D,Executive,Engineering,10123,,4,No,1,1,15.0,Divorced,No
E10026,54,Sales,Specialist,Technical Degree,8454,3.0,2,Yes,4,2,10.0,Single,Yes
E10027,40,R&D,Manager,Technical Degree,8366,8.0,8,Yes,3,2,6.0,Married,No
E10028,42,R&D,Technician,Marketing,6479,7.0,7,Yes,2,4,16.0,Married,No
E10029,38,Sales,Manager,Medical,9088,2.0,2,Yes,4,3,14.0,Married,Yes
E10030,39,R&D,Specialist,Engineering,8095,9.0,1,No,4,1,12.0,Married,No
E10031,50,Sales,Technician,Other,6885,5.0,4,Yes,2,4,17.0,Divorced,No
E10032,35,Sales,Technician,Technical Degree,5513,6.0,6,No,1,1,10.0,Single,No
E10033,24,HR,Technician,Technical Degree,4352,4.0,4,No,4,2,29.0,Divorced,Yes
E10034,45,HR,Specialist,Marketing,5912,8.0,8,Yes,1,3,10.0,Married,No
E10035,41,R&D,Specialist,Life Sciences,7830,8.0,0,No,2,4,8.0,Divorced,No
E10036,38,Sales,Technician,Technical Degree,6290,12.0,2,No,2,2,25.0,Married,No
E10037,41,Sales,Representative,Engineering,7284,10.0,6,Yes,1,2,11.0,Married,Yes
E10038,34,R&D,Technician,Marketing,6261,4.0,2,No,1,3,27.0,Divorced,No
