car_id,brand,model_year,mileage,fuel_type,transmission,engine_cc,accident,owner_count,price
C10000,Kia,2013,122187,Gasoline,Automatic,1000.0,No,2.0,1528
C10001,Toyota,2009,291313,Diesel,Automatic,1000.0,No,3.0,300
C10002,BMW,2011,233961,Hybrid,Automatic,2000.0,No,3.0,3129
C10003,Kia,2020,60771,Gasoline,Automatic,3500.0,No,1.0,4192
C10004,Hyundai,2020,47883,Hybrid,Automatic,2000.0,No,3.0,4379
C10005,Hyundai,2014,166018,Gasoline,Manual,1000.0,No,2.0,1324
C10006,Hyundai,2023,9599,Hybrid,Automatic,1600.0,No,1.0,5420
C10007,Toyota,2018,97378,Hybrid,Automatic,1600.0,No,4.0,3227
C10008,BMW,2013,173623,Gasoline,Automatic,1600.0,No,4.0,4087
C10009,BMW,2016,100367,Gasoline,Automatic,1000.0,No,1.0,4796
C10010,Hyundai,2018,98505,Gasoline,Manual,3000.0,No,3.0,4075
C10011,Toyota,2014,116583,Diesel,Automatic,2000.0,No,1.0,2923
C10012,Benz,2008,147275,Diesel,Manual,2000.0,Yes,1.0,3114
C10013,Hyundai,2013,175272,Diesel,Automatic,1000.0,No,3.0,1036
C10014,Hyundai,2018,76465,Gasoline,Automatic,1000.0,Yes,4.0,2689
C10015,Hyundai,2010,207274,Gasoline,Automatic,2000.0,Yes,1.0,670
C10016,Hyundai,2023,18462,Gasoline,Automatic,3000.0,No,4.0,4664
C10017,Kia,2015,97499,Gasoline,Automatic,2000.0,No,2.0,2066
C10018,Kia,2020,50279,Diesel,Automatic,3000.0,No,3.0,4170
C10019,Hyundai,2008,283342,Hybrid,Automatic,,No,,300
C10020,BMW,2017,105043,Diesel,Automatic,1000.0,No,4.0,5490
C10021,Hyundai,2009,163509,Gasoline,Automatic,,Yes,2.0,300
C10022,Hyundai,2010,141889,Electric,Manual,2000.0,No,2.0,1513
C10023,Kia,2023,11415,Diesel,Automatic,2000.0,No,2.0,5504
C10024,Kia,2021,32354,Electric,Automatic,1600.0,No,1.0,4938
C10025,Benz,2010,191968,Diesel,Automatic,1600.0,Yes,1.0,3083
C10026,Hyundai,2014,132353,Gasoline,Manual,2000.0,No,3.0,2163
C10027,Kia,2020,55350,Gasoline,Manual,3000.0,No,4.0,3271
C10028,Kia,2015,94298,Hybrid,Automatic,1000.0,No,4.0,2382
C10029,Hyundai,2022,25574,Gasoline,Automatic,1600.0,No,3.0,4384
C10030,BMW,2016,54663,Gasoline,Automatic,2000.0,No,4.0,5573
C10031,Hyundai,2014,134350,Diesel,Manual,2000.0,Yes,4.0,1846
C10032,Hyundai,2015,148736,Diesel,Manual,2000.0,No,2.0,2184
C10033,Toyota,2018,52354,Diesel,Manual,3000.0,Yes,2.0,3713
C10034,Toyota,2022,28900,Gasoline,Automatic,2500.0,No,4.0,5054
C10035,Benz,2013,122836,Gasoline,Automatic,2000.0,Yes,3.0,4571
C10036,Hyundai,2009,231112,Diesel,Manual,1600.0,No,3.0,300
C10037,Hyundai,2008,215615,Electric,Automatic,2000.0,No,4.0,300
C10038,BMW,2010,198997,Hybrid,Automatic,2000.0,Yes,3.0,3000
C10039,Kia,2016,105555,Electric,Automatic,2500.0,No,3.0,3369
C10040,Hyundai,2023,16984,Hybrid,Manual,3500.0,No,,5837
C10041,Kia,2020,56168,Diesel,Automatic,2000.0,No,3.0,3532
C10042,Hyundai,2014,108837,Gasoline,Automatic,2000.0,No,,2427
C10043,Toyota,2009,199442,Diesel,Automatic,1000.0,No,2.0,300
C10044,Hyundai,2021,35680,Diesel,Automatic,1000.0,No,1.0,4841
C10045,BMW,2008,215795,Diesel,Automatic,1600.0,No,4.0,2070
C10046,Hyundai,2009,176110,Diesel,Automatic,1000.0,No,3.0,300
C10047,Kia,2022,21939,Diesel,Automatic,1600.0,No,1.0,4262
C10048,Kia,2010,190369,Gasoline,Automatic,1600.0,No,3.0,494
C10049,Hyundai,2023,13167,Diesel,Manual,2000.0,No,1.0,5550
C10050,Toyota,2021,48575,Gasoline,Automatic,2000.0,Yes,2.0,4216
C10051,Benz,2013,129306,Hybrid,Automatic,2000.0,No,4.0,4597
C10052,Toyota,2019,35287,Gasoline,Manual,2000.0,No,1.0,4663
C10053,Toyota,2016,95267,Gasoline,Automatic,1600.0,Yes,2.0,2728
C10054,Kia,2015,73086,Gasoline,Automatic,3500.0,No,4.0,3121
C10055,Toyota,2017,99729,Diesel,Automatic,1000.0,No,1.0,3234
C10056,Hyundai,2016,63826,Gasoline,Automatic,3000.0,No,1.0,3563
C10057,Hyundai,2018,60209,Gasoline,Automatic,1600.0,No,2.0,3759
C10058,Hyundai,2018,71477,Diesel,Automatic,2000.0,No,4.0,2809
C10059,Hyundai,2015,158686,Gasoline,Automatic,1000.0,No,4.0,1352
C10060,Kia,2014,97813,Electric,Automatic,1000.0,No,2.0,2694
C10061,Hyundai,2013,143409,Electric,Automatic,2000.0,No,3.0,2111
C10062,Benz,2015,132659,Diesel,Automatic,2500.0,No,2.0,5457
C10063,Kia,2013,191973,Gasoline,Automatic,1600.0,No,4.0,703
C10064,Hyundai,2009,230000,Hybrid,Automatic,2000.0,No,2.0,514
C10065,Kia,2020,65126,Gasoline,Automatic,1600.0,No,3.0,3456
C10066,Hyundai,2016,124743,Diesel,Automatic,1600.0,No,2.0,1813
C10067,Benz,2016,74981,Gasoline,Automatic,3000.0,No,2.0,5906
C10068,Hyundai,2010,197107,Electric,Automatic,2500.0,No,1.0,1559
C10069,Toyota,2016,124367,Gasoline,Manual,2000.0,Yes,3.0,2512
C10070,Benz,2009,151957,Diesel,Manual,1600.0,Yes,4.0,3179
C10071,Hyundai,2019,56303,Hybrid,Automatic,1600.0,No,3.0,3868
C10072,Hyundai,2023,10590,Diesel,Automatic,3500.0,No,4.0,5094
C10073,Benz,2021,45953,Gasoline,Automatic,1600.0,No,4.0,6835
C10074,BMW,2010,179090,Electric,Manual,2500.0,Yes,1.0,3722
C10075,BMW,2023,12037,Diesel,Automatic,1600.0,No,3.0,7432
C10076,Benz,2021,27464,Diesel,Automatic,3500.0,No,1.0,8122
C10077,Hyundai,2013,140775,Gasoline,Automatic,1600.0,No,2.0,1668
C10078,Kia,2021,33891,Diesel,Automatic,1600.0,No,3.0,3995
C10079,Hyundai,2011,178490,Gasoline,Manual,2000.0,No,2.0,1187
C10080,Toyota,2015,86139,Gasoline,Automatic,3500.0,No,3.0,3722
C10081,BMW,2008,216539,Gasoline,Automatic,3500.0,No,4.0,3118
C10082,Hyundai,2020,46732,Hybrid,Automatic,2000.0,No,2.0,4373
C10083,Hyundai,2013,101773,Gasoline,Automatic,2500.0,No,3.0,2108
C10084,Hyundai,2009,135272,Gasoline,Automatic,2000.0,No,3.0,998
C10085,Hyundai,2013,104158,Diesel,Automatic,2500.0,No,2.0,2191
C10086,BMW,2021,37142,Hybrid,Automatic,2500.0,Yes,1.0,7215
C10087,BMW,2023,13362,Gasoline,Automatic,2000.0,No,3.0,7722
