cust_id,signup_date,age,region,device,tenure_months,num_orders,avg_order_value,num_reviews,complaint_count,membership_tier
U100000,2019-07-26,22,Gyeonggi,Mobile,54,29,9.3,13,0,Gold
U100001,2021-02-15,26,Incheon,Mobile,35,26,10.1,8,0,Silver
U100002,2019-09-24,42,Busan,PC,52,32,7.9,15,2,Silver
U100003,2021-04-16,25,Gyeonggi,Mobile,33,18,11.7,9,1,Silver
U100004,2018-02-01,50,Seoul,PC,72,37,8.2,17,1,Gold
U100005,2019-10-24,37,Seoul,Mobile,51,25,7.5,9,0,Gold
U100006,2021-11-12,39,Seoul,PC,26,20,4.1,10,1,Silver
U100007,2018-11-28,35,Daegu,PC,62,39,2.9,17,0,Gold
U100008,2018-12-28,47,Gyeonggi,Mobile,61,31,6.9,14,0,Gold
U100009,2021-11-12,47,Busan,Mobile,26,10,1.0,9,1,Bronze
U100010,2020-12-17,42,Seoul,Mobile,37,33,11.7,14,0,Silver
U100011,2021-07-15,44,Incheon,PC,30,20,10.7,6,1,Silver
U100012,2023-02-05,36,Daegu,Mobile,11,13,10.1,2,0,Bronze
U100013,2019-08-25,44,Seoul,PC,53,39,11.3,19,0,Gold
U100014,2020-08-19,34,Seoul,Mobile,41,20,7.2,9,0,Silver
U100015,2023-08-04,38,Seoul,Mobile,5,12,8.7,10,0,Bronze
U100016,2018-07-31,35,Seoul,Mobile,66,34,6.9,8,0,Gold
U100017,2022-12-07,33,Gyeonggi,Mobile,13,11,11.3,7,0,Bronze
U100018,2018-10-29,30,Gyeonggi,Mobile,63,37,1.0,14,1,Gold
U100019,2021-12-12,43,Seoul,PC,25,19,11.3,7,1,Silver
U100020,2020-05-21,52,Gyeonggi,PC,44,25,2.5,8,0,Silver
U100021,2022-11-07,51,Seoul,Mobile,14,11,7.4,7,0,Bronze
U100022,2018-05-02,24,Seoul,Tablet,69,48,4.9,21,0,Gold
U100023,2019-02-26,52,Gyeonggi,PC,59,41,7.6,13,0,Gold
U100024,2019-05-27,35,Gyeonggi,Tablet,56,33,6.3,14,0,Gold
U100025,2019-09-24,45,Daegu,Mobile,52,26,6.8,13,2,Silver
U100026,2018-07-31,28,Seoul,Mobile,66,38,9.6,16,0,Gold
U100027,2018-06-01,40,Gyeonggi,Mobile,68,43,8.7,21,0,Gold
U100028,2023-01-06,41,Gyeonggi,PC,12,10,11.0,3,0,Bronze
U100029,2018-06-01,22,Seoul,Mobile,68,46,9.3,12,2,Gold
U100030,2020-06-20,45,Gyeonggi,Mobile,43,22,3.2,9,0,Silver
U100031,2023-07-05,53,Seoul,Mobile,6,0,15.1,1,0,Bronze
U100032,2022-10-08,36,Seoul,Mobile,15,4,2.0,3,1,Bronze
U100033,2020-07-20,53,Incheon,Mobile,42,24,8.9,13,3,Silver
U100034,2021-06-15,36,Incheon,Mobile,31,20,10.2,2,1,Silver
U100035,2019-08-25,47,Daegu,Mobile,53,34,8.9,13,1,Gold
U100036,2023-07-05,20,,Mobile,6,0,7.4,0,2,Bronze
U100037,2021-04-16,65,Seoul,Tablet,33,15,12.5,2,0,Bronze
U100038,2021-08-14,54,,PC,29,14,11.4,5,0,Silver
U100039,2022-04-11,35,Gyeonggi,Tablet,21,21,67.1,11,2,Gold
U100040,2019-07-26,20,Seoul,PC,54,30,6.7,13,0,Gold
U100041,2019-05-27,41,Gyeonggi,Mobile,56,26,5.5,8,0,Gold
U100042,2022-04-11,22,Seoul,Mobile,21,15,5.8,6,0,Bronze
U100043,2019-06-26,43,Incheon,PC,55,32,7.8,16,0,Gold
U100044,2019-03-28,43,Seoul,PC,58,29,3.0,14,1,Silver
U100045,2018-09-29,28,Busan,Mobile,64,36,8.0,13,0,Gold
U100046,2020-03-22,50,Seoul,Mobile,46,26,10.4,9,1,Silver
U100047,2022-03-12,47,Gyeonggi,Mobile,22,13,6.3,0,0,Bronze
U100048,2019-01-27,49,,Mobile,60,41,7.9,15,1,Gold
U100049,2023-02-05,38,Seoul,Mobile,11,9,8.9,0,0,Bronze
U100050,2020-02-21,22,Incheon,Mobile,47,29,9.5,18,0,Gold
U100051,2021-06-15,49,Busan,PC,31,24,7.4,7,1,Silver
U100052,2022-07-10,35,Incheon,Mobile,18,9,13.3,7,0,Bronze
U100053,2022-03-12,23,Daegu,Mobile,22,10,8.0,9,0,Silver
