customer_id,age,income,loan_amount,credit_score,employment_years,debt_to_income,num_credit_lines,home_ownership,loan_purpose,default
L200000,45,4237,2148,729.0,6.0,13.2,1,Rent,House,No
L200001,39,4184,1245,723.0,3.0,7.2,6,Rent,Car,No
L200002,46,1768,1939,731.0,17.0,53.0,10,Rent,Business,No
L200003,55,4406,3524,514.0,2.0,20.0,6,Rent,Business,Yes
L200004,38,6319,5673,578.0,4.0,48.0,7,Own,Business,Yes
L200005,38,2706,1797,624.0,5.0,20.1,9,Rent,Personal,Yes
L200006,56,6887,6587,604.0,0.0,28.3,7,Mortgage,House,Yes
L200007,48,5878,4611,610.0,8.0,30.3,3,Rent,Business,No
L200008,35,3678,933,,3.0,22.1,4,Own,Personal,No
L200009,45,4745,5173,667.0,12.0,37.9,1,Mortgage,Car,Yes
L200010,35,7877,3982,650.0,13.0,15.4,5,Own,Personal,No
L200011,35,6320,2135,644.0,9.0,9.2,7,Rent,House,No
L200012,42,5016,1445,632.0,9.0,20.7,3,Own,Business,No
L200013,21,4572,4208,643.0,9.0,33.2,6,Mortgage,Personal,No
L200014,23,5138,4645,757.0,4.0,39.7,3,Mortgage,Education,No
L200015,34,4079,3672,537.0,5.0,37.0,4,Rent,Car,Yes
L200016,30,1500,1674,749.0,15.0,43.8,5,Rent,House,No
L200017,43,8676,4763,821.0,12.0,18.0,6,Rent,Car,No
L200018,31,5280,4019,749.0,9.0,46.2,6,Own,Education,No
L200019,26,5717,4685,591.0,11.0,55.1,1,Rent,House,Yes
L200020,55,4896,5775,626.0,8.0,40.1,8,Rent,Education,Yes
L200021,38,40091,20000,732.0,9.0,11.4,3,Rent,House,No
L200022,41,4665,5394,643.0,11.0,46.6,4,Own,Car,Yes
L200023,26,2121,740,625.0,0.0,5.0,8,Own,House,No
L200024,35,9099,8771,653.0,13.0,38.9,5,Rent,Business,Yes
L200025,41,2778,2314,581.0,12.0,49.4,6,Rent,Personal,Yes
L200026,28,3142,3195,651.0,4.0,35.9,1,Own,Car,Yes
L200027,44,4208,962,576.0,14.0,17.8,8,Own,House,No
L200028,34,7319,2036,711.0,0.0,22.9,5,Rent,Personal,No
L200029,37,5026,1355,601.0,10.0,5.0,1,Own,House,No
L200030,34,2775,2200,664.0,8.0,33.1,7,Rent,Personal,No
L200031,59,7258,5828,629.0,6.0,35.0,2,Rent,Education,Yes
L200032,40,6316,6986,687.0,8.0,50.1,6,Rent,Car,No
L200033,29,5969,3985,718.0,11.0,33.1,3,Mortgage,Business,No
L200034,48,6288,1685,680.0,0.0,19.7,6,Own,Personal,No
L200035,28,9310,3813,611.0,13.0,10.1,9,Mortgage,Personal,Yes
L200036,42,8933,1859,621.0,6.0,9.7,6,Mortgage,Business,No
L200037,20,3764,3676,825.0,,50.9,1,Rent,Education,No
L200038,27,7923,8047,726.0,11.0,53.3,6,Mortgage,House,No
L200039,42,5690,6816,646.0,6.0,49.7,3,Rent,House,Yes
L200040,47,5898,3611,620.0,8.0,20.2,4,Mortgage,House,No
L200041,42,1954,429,,8.0,17.1,4,Rent,Personal,No
L200042,39,4693,2040,739.0,16.0,21.7,9,Rent,Car,No
L200043,37,3537,2786,610.0,2.0,35.6,8,Rent,House,Yes
L200044,25,6491,7542,734.0,6.0,52.7,7,Own,Education,Yes
L200045,33,6928,2103,718.0,0.0,5.0,5,Mortgage,House,No
L200046,35,1500,482,755.0,9.0,19.6,10,Rent,Car,No
L200047,51,4960,4473,713.0,5.0,37.3,11,,House,No
L200048,43,7019,6087,645.0,5.0,43.8,4,Mortgage,Education,Yes
L200049,22,4664,2101,661.0,15.0,18.2,3,Mortgage,Personal,No
L200050,43,6312,6395,662.0,4.0,45.2,1,Own,Education,Yes
L200051,36,5632,1852,641.0,7.0,16.8,9,Mortgage,House,Yes
L200052,33,5615,6321,546.0,6.0,40.7,8,Rent,Business,Yes
L200053,46,4512,1809,509.0,6.0,8.8,1,Rent,Business,Yes
L200054,50,2810,791,713.0,22.0,17.7,2,Mortgage,House,No
L200055,49,2981,1608,647.0,0.0,14.7,1,Mortgage,Car,No
L200056,32,6277,2434,727.0,11.0,12.8,1,Rent,Personal,No
L200057,37,5035,3660,633.0,20.0,26.1,9,Rent,Education,No
L200058,43,4751,4213,660.0,13.0,38.4,5,Rent,Car,Yes
L200059,50,4237,2927,725.0,8.0,33.0,3,Rent,House,No
L200060,35,4451,3831,769.0,,22.0,2,Own,Personal,No
L200061,38,6884,3889,638.0,15.0,16.8,8,Rent,Business,Yes
L200062,29,4397,1002,590.0,13.0,5.0,8,Own,Personal,No
L200063,28,2586,3036,745.0,0.0,45.1,6,Rent,Education,No
L200064,48,6339,6462,640.0,6.0,24.8,2,Mortgage,Car,No
L200065,54,4631,1266,626.0,2.0,20.0,11,Own,Business,No
L200066,39,5057,3283,632.0,,26.5,1,Mortgage,House,Yes
L200067,50,7894,6592,610.0,2.0,32.3,6,Own,House,Yes
L200068,44,4963,1939,714.0,9.0,21.7,1,Rent,Car,No
L200069,34,5521,4295,566.0,11.0,35.3,6,Rent,House,Yes
L200070,44,2878,2111,667.0,6.0,33.4,10,Mortgage,Personal,No
L200071,55,4605,1880,677.0,15.0,16.2,2,Mortgage,Education,No
L200072,40,6097,2080,618.0,13.0,14.5,7,Rent,Car,No
L200073,56,2200,2110,771.0,7.0,45.1,10,Own,Business,No
L200074,20,5362,2802,723.0,7.0,25.2,2,Rent,Business,No
L200075,48,5181,2301,628.0,10.0,31.6,2,Rent,Personal,Yes
L200076,41,5074,4759,653.0,8.0,38.6,6,Rent,Personal,Yes
L200077,37,6867,6428,723.0,1.0,42.6,4,Own,Car,Yes
L200078,41,5602,2669,666.0,7.0,18.1,6,Own,Personal,No
L200079,20,7661,8217,758.0,11.0,45.5,8,Own,Car,No
L200080,38,3212,2853,,15.0,38.5,11,Rent,Car,Yes
L200081,44,5245,2863,678.0,13.0,18.3,10,Rent,Car,No
L200082,55,5152,3233,677.0,10.0,19.9,3,,Car,No
L200083,35,3075,2850,850.0,15.0,42.2,5,Rent,Personal,No
L200084,32,6721,2766,589.0,,20.1,5,Mortgage,Business,No
L200085,35,9184,6142,583.0,8.0,38.5,10,Rent,Business,Yes
L200086,49,4969,4241,643.0,15.0,34.2,9,Rent,Personal,No
L200087,43,5909,4370,758.0,12.0,21.6,7,Own,House,No
L200088,35,5152,4165,,15.0,32.4,9,Rent,Car,Yes
L200089,45,3716,2773,527.0,2.0,36.0,8,Rent,Business,Yes
L200090,41,1723,688,632.0,4.0,5.0,3,Rent,Personal,Yes
L200091,50,3730,2276,808.0,4.0,24.4,2,Mortgage,Personal,No
L200092,33,2494,1826,662.0,9.0,34.6,3,Mortgage,House,No
L200093,37,8067,7906,579.0,17.0,41.1,6,Mortgage,Personal,No
L200094,36,4793,4093,,2.0,31.3,11,Own,Personal,No
L200095,25,4377,2743,776.0,13.0,15.4,10,Rent,Car,No
L200096,43,6600,7751,615.0,2.0,46.9,4,Rent,Business,Yes
L200097,43,2981,918,692.0,19.0,5.0,11,Rent,Car,No
L200098,40,3620,1473,671.0,0.0,21.7,1,Rent,Education,No
L200099,38,5123,2773,700.0,12.0,22.1,10,Mortgage,Personal,No
L200100,26,6852,2937,628.0,12.0,29.1,10,Rent,Personal,No
L200101,36,5903,4873,704.0,,17.4,9,Own,Education,No
L200102,37,5447,1305,719.0,4.0,6.9,6,,Personal,No
L200103,32,5141,1940,710.0,3.0,21.0,1,Own,Car,No
L200104,38,5720,2822,546.0,14.0,28.9,3,Own,Car,Yes
L200105,44,5363,4737,560.0,13.0,41.5,11,Own,Car,Yes
L200106,59,3146,3385,612.0,13.0,35.4,11,Own,Personal,Yes
L200107,42,5083,5075,679.0,14.0,36.1,1,Rent,Personal,No
L200108,43,3067,1172,699.0,0.0,5.0,9,Rent,Education,No
L200109,39,5146,3939,586.0,0.0,31.0,4,Own,Personal,Yes
L200110,21,4135,951,683.0,5.0,18.5,2,Rent,Personal,No
L200111,40,9571,4886,726.0,6.0,20.5,4,Mortgage,Education,No
L200112,41,4928,4957,707.0,5.0,44.8,2,Rent,Business,Yes
L200113,65,2472,1623,628.0,9.0,30.7,6,Mortgage,Personal,No
L200114,38,4758,1665,634.0,14.0,11.5,6,Rent,Car,No
L200115,43,5935,3790,569.0,7.0,6.1,11,Mortgage,Car,Yes
L200116,40,8012,3189,782.0,4.0,26.6,7,Own,House,No
L200117,28,3939,2337,693.0,12.0,27.2,9,Own,Personal,No
L200118,51,2152,1480,547.0,7.0,17.5,11,Rent,Personal,No
L200119,48,6470,3556,,9.0,25.0,9,Mortgage,House,No
L200120,48,2515,2859,706.0,,47.1,4,Mortgage,Personal,No
L200121,31,4215,3214,744.0,10.0,41.0,9,Rent,Education,No
L200122,54,4536,4731,621.0,3.0,45.5,8,Own,Education,Yes
L200123,26,4875,4684,631.0,12.0,42.2,1,Rent,Personal,Yes
L200124,46,6240,5374,603.0,8.0,36.0,7,Own,Education,Yes
L200125,62,3769,2627,808.0,4.0,21.7,7,Rent,Education,No
L200126,30,4507,911,625.0,11.0,13.5,10,Own,Car,No
L200127,34,4974,4046,593.0,4.0,32.3,4,Rent,Car,Yes
L200128,41,5269,2929,615.0,4.0,14.6,7,Mortgage,Business,Yes
L200129,35,5176,1645,637.0,2.0,7.4,11,Own,Car,No
L200130,24,5785,3729,769.0,0.0,16.7,11,Rent,Personal,No
L200131,41,6519,6099,,11.0,45.9,11,Own,Business,Yes
L200132,29,5707,6630,746.0,14.0,62.3,11,Own,Education,No
L200133,45,5816,3339,680.0,6.0,32.2,10,Rent,Business,No
L200134,31,2152,1598,647.0,4.0,32.7,10,Own,Personal,No
L200135,55,5090,5351,587.0,0.0,41.5,5,Mortgage,House,Yes
L200136,32,5863,3131,772.0,0.0,19.0,5,Rent,Education,No
L200137,37,6312,2160,729.0,12.0,5.8,5,Own,Personal,No
L200138,48,3754,1809,736.0,0.0,34.8,6,Rent,Car,No
L200139,28,3814,4192,725.0,2.0,35.7,7,,Car,No
L200140,42,3967,1426,610.0,9.0,7.6,5,Own,Education,No
L200141,53,5966,3157,679.0,8.0,19.6,9,Own,Education,Yes
L200142,24,6861,4560,736.0,10.0,25.7,11,Own,Car,No
L200143,42,4267,4468,726.0,8.0,46.7,9,Mortgage,House,Yes
L200144,43,6634,7548,671.0,6.0,40.1,7,Mortgage,Education,Yes
L200145,48,5222,3268,798.0,2.0,9.1,10,Rent,Education,No
L200146,28,4776,5406,697.0,5.0,43.4,3,Rent,Business,Yes
L200147,27,4620,1670,753.0,7.0,13.1,4,Rent,Personal,No
L200148,45,6344,2264,674.0,0.0,12.3,4,Own,Education,No
L200149,43,5586,6420,634.0,4.0,43.9,7,Rent,Education,Yes
L200150,43,9096,6455,728.0,6.0,25.6,2,,Business,No
L200151,43,3466,1338,711.0,5.0,5.0,11,Own,Education,No
L200152,33,5933,4082,684.0,6.0,39.2,5,Rent,Personal,Yes
L200153,42,4047,3979,601.0,11.0,50.6,11,Mortgage,Education,Yes
L200154,43,3435,3527,731.0,12.0,52.2,11,Mortgage,Education,No
L200155,33,4980,5299,604.0,16.0,33.1,4,Own,Car,Yes
L200156,59,5247,4038,714.0,,34.0,10,Own,Personal,No
L200157,45,10253,10939,583.0,6.0,39.3,11,Own,Education,Yes
L200158,28,4669,3315,601.0,14.0,24.6,9,Mortgage,Business,No
L200159,47,2966,2394,680.0,,24.9,1,Mortgage,Education,No
L200160,30,5491,5264,701.0,2.0,58.9,10,Mortgage,Car,No
L200161,48,1500,938,675.0,5.0,23.0,3,Rent,House,No
L200162,52,4834,1322,623.0,18.0,5.0,6,Rent,Car,No
L200163,32,5029,2767,738.0,3.0,23.1,11,Own,House,No
L200164,50,6430,5298,670.0,13.0,39.1,4,Mortgage,House,No
L200165,44,6753,2649,674.0,8.0,14.6,3,Mortgage,Car,No
L200166,48,4094,1426,649.0,2.0,15.9,6,Rent,Car,Yes
L200167,59,4729,2332,609.0,22.0,27.7,11,Rent,Personal,Yes
L200168,38,3621,840,739.0,9.0,5.0,3,Mortgage,Personal,No
L200169,32,2969,2801,615.0,10.0,39.2,7,Own,House,Yes
L200170,31,5558,2550,779.0,11.0,13.2,1,Mortgage,Education,No
L200171,32,2708,878,602.0,10.0,6.8,9,Rent,Education,No
L200172,39,4254,3825,683.0,19.0,50.0,10,Rent,House,No
L200173,43,3209,3347,665.0,17.0,41.0,2,Rent,House,No
L200174,43,5989,1317,652.0,3.0,5.0,4,Rent,Car,No
L200175,48,8243,3574,708.0,18.0,16.5,6,Own,Personal,No
L200176,40,2657,3043,715.0,4.0,36.1,6,Mortgage,Personal,No
L200177,55,1665,974,,10.0,21.7,11,Mortgage,House,No
L200178,37,4775,5437,586.0,1.0,40.1,8,Rent,Personal,Yes
L200179,67,5028,2384,578.0,13.0,23.1,8,Rent,Education,No
