customer_id,gender,senior,partner,age,tenure,contract,internet_service,payment_method,num_services,support_calls,satisfaction,monthly_charge,churn
C100000,Male,0,No,53.0,13,Month-to-month,Fiber optic,Electronic check,5,1,4,105.04,Yes
C100001,Female,0,No,29.0,1,Month-to-month,No,Mailed check,5,2,5,39.24,No
C100002,Male,0,Yes,47.0,56,Two year,Fiber optic,Mailed check,7,2,2,113.14,No
C100003,Male,1,Yes,45.0,18,Month-to-month,Fiber optic,Credit card,3,3,3,90.94,Yes
C100004,Male,0,No,50.0,3,Month-to-month,No,Electronic check,3,0,5,44.89,No
C100005,Female,0,No,47.0,72,Two year,Fiber optic,Bank transfer,3,2,4,78.29,No
C100006,Male,1,Yes,51.0,20,One year,DSL,Mailed check,3,0,5,67.07,No
C100007,Male,0,Yes,40.0,5,One year,No,Bank transfer,3,1,4,36.93,No
C100008,Male,1,No,46.0,11,One year,Fiber optic,Mailed check,2,1,5,92.53,No
C100009,Female,1,No,27.0,23,Two year,Fiber optic,Credit card,2,1,5,83.32,No
C100010,Male,0,No,40.0,52,Two year,Fiber optic,Electronic check,3,2,4,101.16,No
C100011,Male,1,No,66.0,20,One year,No,Electronic check,2,2,4,36.24,No
C100012,Male,0,Yes,50.0,43,Two year,Fiber optic,Bank transfer,3,3,4,85.12,No
C100013,Male,0,Yes,45.0,12,Month-to-month,DSL,Mailed check,2,1,4,50.13,No
C100014,Female,0,No,73.0,10,Month-to-month,Fiber optic,Electronic check,3,1,4,89.99,No
C100015,Male,1,No,25.0,27,Two year,DSL,Mailed check,2,2,3,63.74,No
C100016,Female,0,Yes,28.0,16,Month-to-month,DSL,Bank transfer,0,1,4,39.68,No
C100017,Female,0,Yes,71.0,22,Two year,Fiber optic,Electronic check,4,2,4,103.24,No
C100018,Female,0,No,46.0,4,Month-to-month,DSL,Electronic check,1,3,4,50.69,Yes
C100019,Male,0,Yes,41.0,22,Month-to-month,Fiber optic,Credit card,1,2,4,91.41,No
C100020,Female,0,Yes,27.0,44,Two year,No,Mailed check,5,1,4,45.89,No
C100021,Male,0,No,52.0,1,Month-to-month,Fiber optic,Electronic check,2,0,4,86.61,No
C100022,Female,0,No,53.0,33,Two year,No,Electronic check,2,1,5,38.14,No
C100023,Female,0,No,29.0,3,Two year,DSL,Bank transfer,1,1,4,45.11,No
C100024,Female,0,Yes,43.0,8,Two year,No,Electronic check,1,1,4,19.55,No
C100025,Female,0,No,40.0,23,One year,No,Credit card,1,3,5,17.88,No
C100026,Female,0,No,49.0,42,One year,DSL,Bank transfer,4,1,5,73.11,No
C100027,Female,1,No,28.0,72,Two year,DSL,Mailed check,2,3,4,49.88,No
C100028,Female,0,No,64.0,51,One year,DSL,Credit card,4,2,5,71.0,No
C100029,Female,1,Yes,59.0,4,One year,No,Mailed check,2,1,5,30.11,No
C100030,Male,0,Yes,40.0,72,Two year,No,Electronic check,7,0,5,57.15,No
C100031,Male,0,Yes,42.0,31,One year,DSL,Bank transfer,3,0,5,49.77,No
C100032,Female,0,Yes,,50,Two year,Fiber optic,Bank transfer,4,0,4,98.29,No
C100033,Female,0,No,33.0,5,Month-to-month,DSL,Electronic check,2,2,5,51.77,No
C100034,Female,0,No,38.0,13,Month-to-month,Fiber optic,Mailed check,1,2,3,79.48,No
C100035,Male,0,No,41.0,12,Month-to-month,No,Mailed check,1,0,4,24.57,No
C100036,Female,0,No,69.0,12,Month-to-month,DSL,Electronic check,2,2,4,69.1,No
C100037,Male,0,Yes,59.0,28,One year,No,Bank transfer,5,1,4,43.59,No
C100038,Male,0,Yes,59.0,9,Month-to-month,No,Bank transfer,2,2,5,35.53,No
C100039,Male,0,Yes,51.0,22,Two year,No,Mailed check,3,1,5,35.59,No
C100040,Male,0,Yes,28.0,9,Month-to-month,DSL,Mailed check,4,0,5,73.08,No
C100041,Male,0,Yes,44.0,19,Month-to-month,DSL,Mailed check,2,2,4,55.71,No
C100042,Female,1,No,60.0,16,Month-to-month,DSL,Electronic check,2,0,4,72.44,No
C100043,Female,0,No,26.0,37,One year,Fiber optic,Electronic check,3,1,4,92.58,No
C100044,Female,0,Yes,55.0,12,Month-to-month,Fiber optic,Electronic check,1,3,4,81.71,Yes
C100045,Female,0,Yes,80.0,4,Month-to-month,DSL,Electronic check,5,4,4,83.32,No
C100046,Female,0,No,61.0,11,One year,No,Mailed check,2,1,4,29.48,No
C100047,Male,0,Yes,66.0,16,Month-to-month,DSL,Bank transfer,5,2,4,82.22,Yes
C100048,Female,0,No,48.0,20,Month-to-month,DSL,Mailed check,6,2,4,89.36,No
C100049,Female,0,No,60.0,36,One year,Fiber optic,Credit card,4,0,5,95.12,No
C100050,Male,0,No,,10,Month-to-month,DSL,Credit card,6,0,4,86.64,No
C100051,Female,0,Yes,,11,Month-to-month,DSL,Credit card,3,1,5,56.28,No
C100052,Male,0,No,55.0,10,Month-to-month,Fiber optic,Credit card,4,1,3,100.47,Yes
C100053,Female,1,Yes,49.0,2,Month-to-month,No,Bank transfer,3,2,4,36.41,Yes
C100054,Male,0,No,65.0,7,One year,No,Bank transfer,3,3,4,37.53,No
C100055,Female,1,Yes,37.0,14,Month-to-month,Fiber optic,Electronic check,4,1,4,106.8,Yes
C100056,Female,0,Yes,42.0,21,Two year,Fiber optic,Bank transfer,4,3,4,106.88,No
C100057,Male,0,No,46.0,3,Two year,Fiber optic,Bank transfer,3,1,5,76.66,No
C100058,Male,0,No,30.0,10,Month-to-month,Fiber optic,Mailed check,3,4,2,86.9,Yes
C100059,Male,0,No,48.0,12,Two year,Fiber optic,Bank transfer,2,5,4,96.49,No
C100060,Male,0,No,19.0,3,Month-to-month,Fiber optic,Mailed check,4,1,3,99.0,Yes
C100061,Male,0,No,61.0,2,Month-to-month,Fiber optic,Mailed check,5,3,4,104.78,No
C100062,Male,0,Yes,46.0,5,Month-to-month,Fiber optic,Mailed check,2,3,3,93.95,Yes
C100063,Male,0,No,37.0,1,Month-to-month,Fiber optic,Bank transfer,6,1,4,93.85,No
C100064,Male,0,No,32.0,8,One year,Fiber optic,Credit card,5,2,4,98.03,No
C100065,Female,0,No,41.0,14,Month-to-month,No,Credit card,2,2,4,38.93,No
C100066,Female,0,No,,35,Two year,DSL,Bank transfer,1,3,4,39.23,No
C100067,Male,0,Yes,53.0,36,One year,No,Electronic check,2,1,5,32.25,No
C100068,Female,0,No,34.0,12,Month-to-month,Fiber optic,Credit card,2,1,4,72.57,No
C100069,Female,1,Yes,32.0,1,One year,DSL,Electronic check,0,1,5,44.23,No
C100070,Female,0,Yes,55.0,21,Two year,Fiber optic,Credit card,2,0,5,94.89,No
C100071,Female,1,No,34.0,6,Month-to-month,Fiber optic,Electronic check,6,1,3,100.98,Yes
C100072,Male,0,Yes,46.0,3,Month-to-month,No,Mailed check,3,3,3,35.76,No
C100073,Female,0,No,47.0,2,Month-to-month,Fiber optic,Bank transfer,3,2,3,99.21,No
C100074,Male,0,Yes,50.0,13,Month-to-month,Fiber optic,Bank transfer,1,4,3,74.96,Yes
C100075,Female,0,Yes,58.0,8,Month-to-month,DSL,Mailed check,1,2,4,53.3,No
C100076,Female,1,No,26.0,3,Month-to-month,DSL,Bank transfer,3,2,4,78.71,Yes
C100077,Female,0,No,19.0,4,One year,Fiber optic,Mailed check,5,1,4,110.09,Yes
C100078,Male,0,No,36.0,32,One year,Fiber optic,Electronic check,5,2,4,106.48,No
C100079,Female,0,No,72.0,28,One year,Fiber optic,Bank transfer,4,1,3,110.23,No
C100080,Male,0,No,75.0,14,Month-to-month,Fiber optic,Electronic check,1,1,4,82.02,Yes
C100081,Female,1,Yes,72.0,14,Month-to-month,No,Bank transfer,4,1,4,46.06,Yes
C100082,Male,0,Yes,42.0,14,Month-to-month,Fiber optic,Electronic check,3,1,4,85.61,No
C100083,Female,0,Yes,19.0,13,Month-to-month,No,Mailed check,2,1,4,37.95,No
C100084,Male,0,No,19.0,16,Two year,DSL,Mailed check,2,2,5,71.3,No
C100085,Male,0,No,36.0,13,Month-to-month,DSL,Electronic check,2,1,4,42.05,No
C100086,Female,0,Yes,42.0,9,Month-to-month,DSL,Mailed check,5,5,3,69.11,Yes
C100087,Male,0,No,65.0,4,Month-to-month,DSL,Bank transfer,4,3,4,68.41,Yes
C100088,Female,0,No,58.0,26,Two year,Fiber optic,Credit card,2,1,5,80.88,No
C100089,Female,0,Yes,48.0,40,One year,Fiber optic,Credit card,4,2,3,104.59,No
C100090,Female,0,Yes,32.0,11,Month-to-month,Fiber optic,Bank transfer,4,0,3,103.33,No
C100091,Female,0,No,31.0,12,Month-to-month,Fiber optic,Mailed check,9,2,3,130.0,No
C100092,Female,0,No,49.0,3,Month-to-month,No,Mailed check,1,1,5,38.86,No
C100093,Female,0,No,55.0,8,One year,No,Electronic check,4,0,5,46.27,No
C100094,Female,0,Yes,51.0,28,Two year,DSL,Mailed check,0,2,4,41.24,No
C100095,Female,0,No,29.0,15,One year,DSL,Credit card,1,0,5,42.95,No
C100096,Female,0,Yes,55.0,13,One year,DSL,Mailed check,4,0,4,72.34,No
C100097,Female,0,Yes,51.0,3,Month-to-month,DSL,Mailed check,3,1,3,55.14,No
C100098,Female,0,No,29.0,4,Month-to-month,Fiber optic,Electronic check,4,2,3,104.19,Yes
C100099,Male,0,Yes,33.0,6,Two year,Fiber optic,Electronic check,2,3,4,83.65,No
C100100,Male,0,No,55.0,6,Month-to-month,DSL,Electronic check,6,0,5,66.7,No
C100101,Female,0,Yes,41.0,23,Two year,Fiber optic,Bank transfer,3,2,4,100.11,No
C100102,Female,0,No,69.0,8,Month-to-month,Fiber optic,Mailed check,4,0,4,102.99,No
C100103,Female,0,No,53.0,19,Month-to-month,DSL,Bank transfer,3,2,3,68.59,Yes
C100104,Female,0,Yes,38.0,2,One year,Fiber optic,Mailed check,3,1,4,82.12,No
C100105,Female,0,No,45.0,27,Month-to-month,No,Credit card,1,0,4,35.33,No
C100106,Female,0,Yes,46.0,14,Month-to-month,Fiber optic,Bank transfer,4,3,3,112.0,Yes
C100107,Female,0,No,34.0,9,Month-to-month,Fiber optic,Bank transfer,2,1,3,80.16,Yes
C100108,Female,0,Yes,31.0,8,One year,DSL,Mailed check,2,1,5,59.74,No
C100109,Male,0,Yes,56.0,6,Month-to-month,DSL,Mailed check,0,1,4,42.26,No
C100110,Female,0,Yes,58.0,13,Month-to-month,DSL,Credit card,0,1,5,42.12,No
C100111,Male,0,Yes,54.0,9,One year,No,Electronic check,1,0,5,27.91,No
C100112,Female,0,No,68.0,14,Month-to-month,DSL,Electronic check,1,4,4,46.88,No
C100113,Female,0,Yes,37.0,25,Two year,DSL,Mailed check,3,1,4,61.8,No
C100114,Male,0,Yes,70.0,8,Month-to-month,DSL,Bank transfer,3,2,4,76.87,No
C100115,Female,0,Yes,31.0,27,One year,No,Electronic check,2,0,4,22.99,No
C100116,Male,0,Yes,30.0,3,Month-to-month,DSL,Bank transfer,1,2,4,53.37,Yes
C100117,Female,0,No,19.0,13,One year,DSL,Mailed check,4,2,4,85.08,No
C100118,Female,1,No,38.0,15,One year,Fiber optic,Mailed check,5,2,4,108.36,Yes
C100119,Male,0,Yes,37.0,39,Two year,Fiber optic,Mailed check,4,1,4,104.03,No
C100120,Female,0,No,53.0,18,Month-to-month,DSL,Mailed check,2,0,3,51.69,No
C100121,Male,1,No,49.0,3,Month-to-month,DSL,Electronic check,3,0,4,59.88,No
C100122,Female,0,Yes,27.0,17,One year,No,Electronic check,0,1,4,15.0,No
C100123,Male,1,No,39.0,3,Month-to-month,No,Electronic check,4,2,4,47.65,No
C100124,Male,0,No,39.0,8,Month-to-month,Fiber optic,Bank transfer,2,1,3,99.82,No
C100125,Female,1,No,19.0,35,Two year,DSL,Bank transfer,0,0,4,52.46,No
C100126,Female,0,No,30.0,6,Month-to-month,DSL,Mailed check,4,2,4,70.2,Yes
C100127,Male,0,Yes,33.0,57,Two year,Fiber optic,Bank transfer,1,3,5,78.1,No
C100128,Female,0,No,67.0,12,Month-to-month,Fiber optic,Mailed check,2,1,4,83.55,No
C100129,Female,0,No,48.0,22,One year,No,Electronic check,3,1,4,32.15,No
C100130,Female,0,No,55.0,19,One year,Fiber optic,Electronic check,4,3,3,93.99,No
C100131,Male,0,No,23.0,13,Month-to-month,No,Credit card,2,1,5,35.55,No
C100132,Male,0,Yes,63.0,60,Two year,No,Bank transfer,1,1,4,43.02,No
C100133,Male,0,No,65.0,10,Month-to-month,No,Bank transfer,3,1,4,44.05,No
C100134,Male,0,No,19.0,18,Two year,Fiber optic,Mailed check,2,1,5,83.4,No
C100135,Male,0,Yes,34.0,72,One year,DSL,Bank transfer,2,1,5,51.64,No
C100136,Male,1,Yes,52.0,10,Month-to-month,Fiber optic,Bank transfer,2,3,3,84.16,No
C100137,Male,0,No,55.0,23,Two year,Fiber optic,Electronic check,6,0,4,127.03,No
C100138,Male,1,Yes,35.0,13,Month-to-month,Fiber optic,Credit card,3,0,4,102.39,No
C100139,Male,0,Yes,40.0,4,Two year,DSL,Electronic check,3,1,4,65.88,No
C100140,Female,0,Yes,36.0,3,Month-to-month,Fiber optic,Electronic check,4,4,3,107.02,Yes
C100141,Male,0,Yes,47.0,3,Two year,Fiber optic,Electronic check,3,2,3,97.94,No
C100142,Female,0,Yes,63.0,3,One year,Fiber optic,Bank transfer,2,2,4,71.8,No
C100143,Female,0,Yes,33.0,4,Month-to-month,DSL,Bank transfer,7,1,4,79.74,No
C100144,Female,0,Yes,60.0,12,One year,Fiber optic,Bank transfer,5,3,4,113.1,No
C100145,Male,0,No,33.0,6,Month-to-month,DSL,Credit card,2,2,5,72.23,No
C100146,Male,1,No,32.0,8,Month-to-month,No,Mailed check,4,1,5,56.39,No
C100147,Male,0,Yes,57.0,11,Month-to-month,Fiber optic,Mailed check,1,3,5,80.71,No
C100148,Male,0,Yes,59.0,6,Month-to-month,DSL,Bank transfer,1,4,5,54.67,Yes
C100149,Female,0,No,58.0,11,Month-to-month,DSL,Credit card,2,0,5,50.39,No
C100150,Male,0,Yes,25.0,20,Month-to-month,Fiber optic,Electronic check,3,0,3,96.07,No
C100151,Male,0,Yes,,30,Month-to-month,DSL,Credit card,0,0,5,46.85,Yes
C100152,Male,0,Yes,57.0,22,Month-to-month,No,Electronic check,0,1,4,20.08,No
C100153,Male,0,No,46.0,27,Month-to-month,Fiber optic,Bank transfer,4,4,3,103.77,No
C100154,Male,0,No,29.0,16,One year,DSL,Bank transfer,2,1,4,58.17,Yes
C100155,Female,0,No,52.0,3,One year,Fiber optic,Credit card,3,0,4,73.15,No
C100156,Male,0,No,,7,Month-to-month,DSL,Electronic check,0,3,3,40.8,Yes
C100157,Female,1,No,72.0,10,Two year,No,Electronic check,0,2,4,18.29,No
C100158,Male,0,Yes,68.0,16,One year,DSL,Electronic check,2,2,5,55.97,No
C100159,Female,0,No,54.0,5,One year,No,Bank transfer,7,1,4,64.2,No
C100160,Male,0,Yes,65.0,9,Month-to-month,Fiber optic,Bank transfer,3,2,4,95.97,No
C100161,Male,1,No,46.0,4,Month-to-month,No,Credit card,1,4,5,27.53,No
C100162,Female,0,No,56.0,13,Two year,DSL,Mailed check,1,1,4,50.2,No
C100163,Female,0,No,67.0,55,Two year,Fiber optic,Electronic check,4,3,3,82.54,No
C100164,Female,0,Yes,49.0,9,Month-to-month,Fiber optic,Electronic check,3,1,4,100.47,No
C100165,Male,0,Yes,41.0,8,Month-to-month,Fiber optic,Electronic check,3,2,4,94.23,No
C100166,Female,0,No,19.0,30,One year,DSL,Bank transfer,5,0,5,73.81,No
C100167,Male,0,No,44.0,22,One year,Fiber optic,Credit card,3,0,3,90.9,No
C100168,Male,0,No,57.0,45,Two year,DSL,Credit card,2,0,5,46.61,No
C100169,Female,0,Yes,59.0,7,Month-to-month,Fiber optic,Mailed check,2,1,3,100.82,No
C100170,Female,0,No,53.0,14,Month-to-month,Fiber optic,Electronic check,2,2,4,82.47,No
C100171,Male,0,No,37.0,2,Month-to-month,DSL,Electronic check,0,2,4,33.87,No
C100172,Male,0,No,19.0,7,Month-to-month,DSL,Bank transfer,1,0,5,49.76,No
C100173,Female,0,No,38.0,10,Month-to-month,Fiber optic,Credit card,3,2,4,93.24,Yes
C100174,Female,1,No,40.0,17,Two year,DSL,Electronic check,3,1,4,73.89,No
C100175,Female,0,No,40.0,8,Month-to-month,No,Electronic check,3,4,4,36.99,No
C100176,Male,0,No,54.0,47,Two year,DSL,Bank transfer,0,1,5,43.21,No
C100177,Male,0,No,75.0,16,Month-to-month,No,Bank transfer,0,1,4,15.0,No
C100178,Male,0,Yes,47.0,10,Month-to-month,Fiber optic,Electronic check,4,0,5,88.52,No
C100179,Male,0,Yes,42.0,21,Month-to-month,Fiber optic,Credit card,3,1,3,83.72,Yes
C100180,Male,0,No,41.0,3,Month-to-month,DSL,Electronic check,5,1,4,78.87,Yes
C100181,Male,0,No,47.0,20,Two year,Fiber optic,Credit card,2,0,5,90.2,No
C100182,Female,0,No,33.0,7,Month-to-month,Fiber optic,Electronic check,4,4,3,105.76,Yes
C100183,Male,0,No,47.0,19,Month-to-month,Fiber optic,Electronic check,3,1,3,91.8,No
C100184,Male,0,Yes,52.0,12,Month-to-month,DSL,Electronic check,1,2,4,61.58,No
