type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,ph,sulphates,alcohol,density,quality_grade
white,5.87,0.14,0.326,5.68,0.0478,3.242,,9.04,0.99881,Medium
red,9.4,0.444,0.201,6.5,0.0913,3.392,0.696,10.75,0.99767,Low
white,5.68,0.438,0.404,8.13,0.0232,3.182,0.493,11.29,0.99649,High
white,6.68,0.277,0.136,5.8,0.0233,2.934,0.518,11.44,0.99609,High
red,7.76,0.437,0.459,3.16,0.0938,3.138,0.633,8.98,1.00023,Medium
white,7.18,0.471,0.261,6.6,0.0728,3.392,0.557,8.81,0.99694,Low
white,6.3,0.474,0.142,10.74,0.031,3.239,0.607,9.84,0.99683,Medium
white,6.7,0.392,0.501,15.3,0.0515,2.987,0.568,11.85,0.99509,High
red,8.14,0.474,0.302,6.94,0.074,3.555,0.646,10.63,0.9973,Medium
white,6.19,0.316,0.539,10.87,0.0461,3.012,0.491,9.59,0.99655,Medium
red,8.93,0.44,0.457,5.11,0.0846,3.164,0.462,8.87,0.99876,Low
white,7.26,0.241,0.214,7.19,0.0306,3.044,0.359,9.68,0.99787,Medium
white,6.9,0.236,0.3,10.24,0.0334,3.045,0.33,9.61,0.99814,Medium
white,6.53,0.278,0.325,9.31,0.0455,3.132,0.742,11.38,0.99653,High
red,9.28,0.417,0.493,3.54,0.0778,3.295,0.324,11.46,0.99713,Medium
red,8.14,0.364,0.363,5.9,0.0631,3.394,0.733,9.3,0.99765,Medium
white,6.66,0.362,0.331,8.48,0.0618,3.142,0.431,11.19,0.99647,Medium
red,8.52,0.543,0.286,4.52,0.0737,3.048,0.732,11.08,0.99543,Medium
white,8.87,0.51,0.304,7.13,0.0437,,0.266,9.16,0.99695,Low
white,5.53,0.273,0.467,9.64,0.0542,3.276,0.502,10.31,0.99837,High
white,7.85,0.37,0.31,50.27,0.0481,3.236,0.704,10.76,0.99565,Medium
red,6.32,0.551,0.263,14.85,0.0926,3.241,0.676,10.57,0.99712,Medium
white,7.24,0.315,0.242,10.01,0.036,3.183,0.49,8.6,0.9988,Medium
white,8.73,0.414,0.244,,0.029,3.215,0.297,10.54,0.99763,Low
white,7.54,0.418,0.142,8.04,0.0454,3.173,0.371,11.07,0.9946,Medium
red,8.59,0.553,0.22,4.33,0.0809,3.361,0.757,12.06,0.99601,Medium
white,6.38,0.314,0.49,5.51,0.0314,3.534,0.488,9.7,0.99728,Medium
red,8.43,0.484,0.285,3.64,0.0592,3.227,0.581,9.83,0.99667,Low
red,8.12,0.383,0.395,2.46,0.0827,3.199,0.624,10.18,0.99667,Medium
white,6.14,0.259,0.013,5.65,0.0386,3.238,0.374,10.71,0.99735,Medium
white,6.68,0.278,0.378,6.17,0.0282,3.101,0.579,10.5,0.99727,High
white,7.22,0.228,0.291,13.02,0.0645,3.315,0.48,11.03,0.99602,Medium
red,7.56,0.564,0.252,9.79,0.0705,3.266,0.625,9.22,0.99674,Low
red,7.51,0.64,0.332,3.68,0.0972,3.137,0.521,10.82,0.99536,Low
white,5.5,0.249,0.251,5.88,0.0504,3.335,0.341,9.62,0.99808,Low
red,8.83,0.548,0.055,4.24,0.0844,3.203,0.539,10.25,0.99569,Low
red,9.0,0.417,0.421,7.5,0.0768,3.054,0.667,12.19,0.99498,High
white,7.25,0.31,0.339,11.93,0.0102,3.253,0.577,8.93,1.00044,Medium
red,9.46,0.451,0.272,5.85,0.0629,3.236,0.594,10.11,0.99737,Medium
white,7.1,0.4,0.194,9.6,0.0481,,0.638,9.06,0.99857,Low
red,8.83,0.452,0.134,6.08,0.0855,3.325,0.566,10.56,0.9956,Medium
white,7.33,0.441,0.337,5.71,0.0232,3.184,0.537,11.5,0.99461,High
white,6.9,0.315,0.504,5.97,0.0492,3.129,0.472,10.58,0.99725,Medium
red,7.82,0.455,0.334,12.39,0.0632,3.2,0.705,10.28,0.99655,Medium
white,9.44,0.215,0.144,9.04,0.0535,3.254,0.565,11.79,0.99651,High
,6.5,0.365,0.337,5.37,0.0497,3.273,0.463,10.75,0.99651,Medium
red,7.67,0.61,0.304,6.6,0.0912,3.245,0.411,11.26,0.99913,Low
red,8.88,0.547,0.414,3.33,0.096,3.186,0.723,11.15,0.9956,Medium
white,7.28,0.564,0.383,12.32,0.0569,3.35,0.441,8.0,0.99921,Low
red,6.85,0.663,0.0,8.59,0.0929,3.099,0.599,10.32,0.99606,Low
red,9.63,0.489,0.375,7.28,0.0747,3.572,0.872,9.27,0.99874,Low
red,8.3,0.488,0.19,5.81,0.1223,3.314,0.686,9.53,0.99797,Low
white,5.78,0.387,0.139,13.55,0.0317,3.031,0.723,11.95,0.99453,High
white,8.31,0.256,0.287,14.15,0.0421,3.228,0.465,10.01,0.99686,Medium
white,7.69,0.457,0.359,6.57,0.0635,3.316,0.659,12.39,0.99623,High
white,5.61,0.376,0.113,10.44,0.0613,3.148,0.533,8.92,0.99925,Low
white,8.95,0.366,0.395,7.15,0.0573,2.976,0.574,9.26,0.99654,Medium
white,7.72,0.409,0.402,6.37,0.0601,3.044,0.773,11.2,0.99565,High
red,8.39,0.692,0.316,10.94,0.0487,3.281,0.557,10.04,0.99875,Low
red,10.15,0.537,0.206,7.87,0.1038,2.937,0.592,10.72,0.99635,Low
white,7.18,0.329,0.192,9.26,0.0469,2.983,0.422,10.28,0.99706,Medium
white,6.97,0.491,0.433,6.71,0.0687,3.281,0.637,10.25,0.99785,Medium
white,6.27,0.437,0.129,14.32,0.0195,3.167,0.463,10.08,0.99588,Low
white,7.64,0.308,0.438,6.51,0.0538,3.096,0.653,10.59,0.99577,High
white,7.52,0.341,0.29,6.21,0.0415,3.126,0.332,11.07,0.9959,Medium
white,7.02,0.36,0.298,8.48,0.0586,2.979,0.596,12.1,0.99634,High
white,6.13,0.376,0.105,10.7,0.0548,3.273,0.453,10.19,0.9979,Low
red,8.54,0.384,0.292,4.44,0.0855,3.079,0.678,9.99,0.99781,Medium
red,8.32,0.366,0.384,5.76,0.0641,3.12,0.588,9.85,0.99716,Medium
red,6.93,0.431,0.15,3.94,0.0791,3.252,0.526,11.94,0.99642,Medium
red,6.78,0.424,0.37,4.15,0.0773,3.162,0.544,11.12,0.996,High
red,9.02,0.456,0.321,13.19,0.0874,3.094,0.488,8.41,0.9991,Low
white,4.14,0.403,0.233,8.23,0.0648,2.902,0.631,8.36,0.99945,Low
red,8.63,0.503,0.413,10.73,0.0823,3.255,0.464,9.53,0.9991,Low
red,7.87,0.54,0.046,2.42,0.0609,3.212,0.558,10.64,0.99652,Low
red,9.84,0.398,0.352,9.22,0.0816,3.122,0.631,10.36,0.9965,Medium
red,7.86,0.474,0.504,3.59,0.1192,3.044,0.784,10.94,0.99747,High
white,7.73,0.399,0.483,11.17,0.0747,,0.529,10.22,0.99819,Medium
white,6.56,0.399,0.357,,0.01,3.272,0.501,11.87,0.99498,High
white,7.13,0.268,0.274,7.49,0.051,3.215,0.563,11.21,0.99507,High
white,7.81,0.356,0.234,6.33,0.064,3.446,0.281,10.48,0.99782,Low
red,7.89,0.74,0.274,8.06,0.0773,3.306,0.446,11.6,0.99423,Low
white,8.1,0.338,0.375,,0.0431,3.184,0.485,8.67,0.99682,Low
red,7.31,0.451,0.213,3.64,0.076,3.311,0.504,10.31,0.99663,Medium
red,8.72,0.503,0.401,2.62,0.0883,3.207,0.398,10.54,0.99667,Low
red,9.41,0.529,0.566,10.64,0.0628,3.207,0.693,11.03,0.99518,High
white,7.73,0.325,0.303,7.04,0.0678,,0.561,8.6,0.99852,Low
white,9.11,0.337,0.149,8.1,0.0492,3.065,,10.13,0.99718,Medium
red,7.56,0.376,0.149,3.36,0.066,3.203,0.507,10.82,0.99589,Medium
white,5.48,0.244,0.403,10.84,0.0669,3.378,0.54,10.9,0.99808,High
,7.31,0.505,0.303,7.74,0.0568,3.246,0.652,11.65,0.99596,Medium
white,7.73,0.323,0.415,14.84,0.0417,,0.498,11.2,0.997,High
red,8.95,0.463,0.246,9.37,0.0714,2.944,0.643,10.34,0.99544,Medium
red,8.51,0.502,0.41,67.92,0.1122,2.859,0.494,11.11,0.99474,Medium
red,7.16,0.526,0.291,5.13,0.0697,3.511,0.602,10.19,0.9973,Low
white,7.84,0.429,0.222,8.02,0.0177,3.246,0.667,10.55,0.99823,Medium
red,7.05,0.51,0.262,7.58,0.0713,3.112,0.738,11.23,0.99504,Medium
red,9.67,0.56,0.166,4.99,0.0868,3.252,0.749,10.35,0.99687,Low
red,11.54,0.466,0.549,9.55,0.0918,3.058,0.624,10.78,0.99525,High
white,7.4,0.397,0.298,6.47,0.0841,3.15,0.534,11.41,0.99514,Medium
white,7.64,0.378,0.387,5.61,0.0711,3.059,0.476,11.15,0.9962,Medium
white,6.46,0.427,0.246,10.3,0.0528,2.988,0.313,11.7,0.99509,Low
red,6.41,0.591,0.184,4.07,0.0666,2.884,0.429,12.84,0.99333,Medium
white,6.34,0.399,0.282,6.27,0.0744,2.96,0.51,11.14,0.99484,Medium
white,5.8,0.33,0.442,19.04,0.0445,3.353,0.517,9.92,0.99543,Medium
white,5.41,0.364,0.248,8.58,0.0401,3.052,0.699,10.94,0.99664,High
red,10.29,0.626,0.206,2.8,0.0737,3.28,0.748,10.89,0.9968,Medium
red,8.7,0.455,0.329,3.84,0.0612,3.343,0.508,11.04,0.99666,Medium
,8.82,0.457,0.37,4.62,0.073,3.202,0.688,11.97,0.99447,High
white,6.66,0.358,0.507,10.22,0.0465,3.155,0.473,8.63,0.9992,Medium
white,6.81,0.382,0.352,7.05,0.061,3.22,0.612,11.99,0.99591,High
red,9.46,0.438,0.387,4.94,0.0742,3.138,0.687,12.34,0.99496,High
red,8.36,0.513,0.396,6.17,0.061,3.381,0.739,11.0,0.99602,High
white,7.58,0.331,0.172,9.99,0.0259,3.481,0.471,11.02,0.99556,Medium
red,8.18,0.298,0.194,5.12,0.0831,3.417,0.712,10.15,0.9971,Medium
white,6.62,0.318,0.18,16.27,0.0511,2.877,0.305,10.41,0.99815,Low
white,5.45,0.324,0.15,10.88,0.0417,3.134,0.686,11.13,0.99707,High
,4.82,0.324,0.405,10.65,0.043,3.201,0.527,11.07,0.99587,High
red,8.11,0.662,0.345,7.3,0.0858,3.269,0.59,11.16,0.9965,Medium
,7.06,0.218,0.32,12.79,0.0709,2.941,0.286,11.06,0.99511,High
white,5.59,0.258,0.0,9.15,0.0383,2.938,0.483,11.34,0.99651,Medium
white,6.96,0.079,0.557,6.45,0.0513,3.396,0.693,11.23,0.99521,High
red,8.46,0.472,0.203,6.61,0.0944,3.116,0.539,9.32,0.99829,Low
red,6.03,0.48,0.556,7.07,0.0684,2.977,0.676,11.27,0.99859,High
red,7.39,0.469,0.136,10.43,0.0798,3.034,0.594,12.35,0.99443,Medium
white,7.45,0.451,0.213,6.31,0.0494,3.259,0.658,10.37,0.99936,Medium
red,8.83,0.606,0.046,3.43,0.0603,3.077,0.613,11.97,0.99573,Medium
red,7.13,0.528,0.353,5.47,0.0825,3.236,0.478,9.44,0.99689,Low
red,8.57,0.483,0.178,7.42,0.0805,3.053,0.597,10.37,0.99601,Medium
white,8.12,0.443,0.181,6.09,0.0583,2.938,0.722,9.73,0.99943,Low
red,9.25,0.518,0.145,3.15,0.0622,3.414,0.65,11.85,0.99584,Medium
white,6.9,0.258,0.403,11.59,0.0501,3.26,0.516,12.12,0.99464,High
white,6.49,0.168,0.395,6.13,0.0707,3.15,0.801,10.3,0.99661,High
red,7.71,0.476,0.527,3.45,0.1112,3.122,0.729,11.63,0.99598,High
white,7.51,0.415,0.228,11.89,0.0692,3.42,0.628,12.13,0.99514,High
red,8.61,0.748,0.336,7.36,0.0623,3.289,0.628,10.37,0.99704,Low
white,7.69,0.346,0.155,7.07,0.0568,3.372,0.618,10.54,0.99817,Medium
white,7.15,0.263,0.27,10.11,0.0428,3.112,0.622,11.17,0.99499,High
